Business Name,Website
DVOP (Disabled Veterans' Outreach Program) and LVER (Local Veterans' Employment Representative), Iowa,https://www.benefits.va.gov/desmoines/
State VSO (Veterans Service Organizations), Iowa,https://www.volunteer.va.gov/directory/state.asp?STATE=IA
CVSO (County Veterans Service Officers), Iowa,https://www.benefits.va.gov/benefits/offices.asp
VA Clinics, Iowa,https://www.benefits.va.gov/DesMoines/other-va-facilities.asp
Veteran Orgs (Veteran Organizations), Iowa,https://department.va.gov/about/state-departments-of-veterans-affairs-office-locations/
Shenandoah VA Clinic,https://www.va.gov/directory/guide/state.asp?dnum=ALL&STATE=IA
Spirit Lake VA Community Based Outpatient Clinic (CBOC),https://www.va.gov/directory/guide/state.asp?dnum=ALL&STATE=IA
Waterloo VA Clinic,https://www.va.gov/directory/guide/state.asp?dnum=ALL&STATE=IA
Des Moines VA Medical Center,https://www.va.gov/central-iowa-health-care/locations/
Carroll VA Clinic,https://www.va.gov/central-iowa-health-care/locations/
VA Central Iowa Health Care System,https://www.va.gov/directory/guide/fac_list_by_state.cfm?State=IA&dnum=All
Iowa City VA Medical Center,https://www.va.gov/iowa-city-health-care/
DVOP and LVER Offices in Iowa,https://www.iowaworkforcedevelopment.gov/veteran-employment-services
Other DVOP and LVER Contacts in Iowa,https://dva.iowa.gov/contact
State VSO and CVSO Offices in Iowa,https://ivrs.iowa.gov/location-list
VA Clinics in Iowa,https://www.va.gov/
Veteran Organizations in Iowa,https://www.va.gov/
Housing Services in Iowa,https://www.va.gov/
Food Banks in Iowa,https://www.feedingamerica.org/find-your-local-foodbank
Employment Agencies in Iowa,https://www.iowaworkforcedevelopment.gov/veteran-employment-services
Colleges and Tech Schools in Iowa,https://www.va.gov/gi-bill-comparison-tool
Disabled Veterans' Outreach Program (DVOP),https://www.iowaworkforcedevelopment.gov/contact
Local Veterans' Employment Representative (LVER),https://www.iowaworkforcedevelopment.gov/contact
Department of Labor (DOL) Offices,https://www.dol.gov/agencies/whd/contact/local-offices
Employment Agencies,https://www.iowaworkforcedevelopment.gov/contact
